target,feature,coefficient,mean,scale
M1+,INTERCEPT,-5.142137363080818,,
M1+,USFLUXL_SLOG,0.22586833968806427,50.13828331932145,1.1511257320725035
M1+,R_VALUE_SLOG,1.3632445043638917,4.3317033606034006,6.5026293566597
M1+,MEANGBL_GMM_SLOG,0.2941836605320032,4.109218684763116,0.22161435340107666
M1+,MEANGBZ_SLOG,0.3455365675502817,4.427855454417774,0.19551809420603697
M1+,USFLUXZ_SLOG,0.24448807600072592,41.63079732948705,28.762363011385315
M1+,CMASKL_SLOG,0.6939088709053418,11.04726094780377,1.1967860378422395
M1+,LAT_FWT_VALUE,0.06900034600297175,-1.453614248353257,17.338829323178377
M1+,ABS_LON_FWT,0.31162880845009766,32.786238970318394,19.19309234306919
M1+,USFLUXL_SLOG_DELTA24H,0.42247922348714506,0.019763424132991626,0.3820787057552509
M1+,R_VALUE_SLOG_DELTA24H,0.300655327287802,-0.19834223026385797,3.964525987834647
M1+,MEANGBL_GMM_SLOG_DELTA24H,-0.03804825199446249,-0.02805327626542476,0.12646689110810405
M1+,MEANGBZ_SLOG_DELTA24H,0.0913400700566167,-0.015875205052100758,0.1142075921891662
M1+,USFLUXZ_SLOG_DELTA24H,0.05961833416076813,0.5224768794367779,21.849236343277408
M1+,CMASKL_SLOG_DELTA24H,-0.23599599714905653,0.04632683459633947,0.4742147626878497
M1+,LAT_FWT_VALUE_DELTA24H,-0.011770230317702284,-0.04388526102189027,0.4965735678244638
M1+,prior_C_1d,0.15843367391061366,0.29975443687911596,0.9963942952811601
M1+,prior_M_1d,0.2720099532369416,0.0712133050563679,0.39255345541207387
M1+,prior_X_1d,0.06651146968801246,0.007311083826319902,0.10024032067810931
M1+,days_since_m1plus,-0.1538562124907942,2.134445808684005,0.9006676111156126
M1+,MEANGBL_GMM_SLOG_MISSING,0.32518779486992716,0.01986828887152584,0.1395476261669952
M1+,MEANGBZ_SLOG_MISSING,0.3251877948699261,0.01986828887152584,0.1395476261669952
M1+,USFLUXL_SLOG_DELTA24H_MISSING,0.07341560711982688,0.12116307623618708,0.3263166946283487
M1+,R_VALUE_SLOG_DELTA24H_MISSING,0.07341560711982748,0.12116307623618708,0.3263166946283487
M1+,MEANGBL_GMM_SLOG_DELTA24H_MISSING,-0.14345618307269467,0.14231499051233396,0.34937291536094817
M1+,MEANGBZ_SLOG_DELTA24H_MISSING,-0.1434561830726932,0.14231499051233396,0.34937291536094817
M1+,USFLUXZ_SLOG_DELTA24H_MISSING,0.0734156071198263,0.12116307623618708,0.3263166946283487
M1+,CMASKL_SLOG_DELTA24H_MISSING,0.07341560711982748,0.12116307623618708,0.3263166946283487
M1+,LAT_FWT_VALUE_DELTA24H_MISSING,0.07341560711982688,0.12116307623618708,0.3263166946283487
M1+,days_since_m1plus_MISSING,-0.16145301727644218,0.8758790043531645,0.32971953852702424
X1+ given M1+,INTERCEPT,-3.824584657796824,,
X1+ given M1+,USFLUXL_SLOG,0.32539446683653045,50.13828331932145,1.1511257320725035
X1+ given M1+,R_VALUE_SLOG,0.22850267246607822,4.3317033606034006,6.5026293566597
X1+ given M1+,MEANGBL_GMM_SLOG,0.285274979890919,4.109218684763116,0.22161435340107666
X1+ given M1+,MEANGBZ_SLOG,0.24212876505727962,4.427855454417774,0.19551809420603697
X1+ given M1+,USFLUXZ_SLOG,-0.011899171560421523,41.63079732948705,28.762363011385315
X1+ given M1+,CMASKL_SLOG,-0.01972029823606736,11.04726094780377,1.1967860378422395
X1+ given M1+,LAT_FWT_VALUE,0.03771985530212515,-1.453614248353257,17.338829323178377
X1+ given M1+,ABS_LON_FWT,0.0028803900269121015,32.786238970318394,19.19309234306919
X1+ given M1+,USFLUXL_SLOG_DELTA24H,0.0198590202851281,0.019763424132991626,0.3820787057552509
X1+ given M1+,R_VALUE_SLOG_DELTA24H,0.20193552997123757,-0.19834223026385797,3.964525987834647
X1+ given M1+,MEANGBL_GMM_SLOG_DELTA24H,0.0010877009937525824,-0.02805327626542476,0.12646689110810405
X1+ given M1+,MEANGBZ_SLOG_DELTA24H,-0.05079782551234227,-0.015875205052100758,0.1142075921891662
X1+ given M1+,USFLUXZ_SLOG_DELTA24H,-0.1365072719763515,0.5224768794367779,21.849236343277408
X1+ given M1+,CMASKL_SLOG_DELTA24H,0.09811170649175917,0.04632683459633947,0.4742147626878497
X1+ given M1+,LAT_FWT_VALUE_DELTA24H,0.20015099687367474,-0.04388526102189027,0.4965735678244638
X1+ given M1+,prior_C_1d,0.08973938279862714,0.29975443687911596,0.9963942952811601
X1+ given M1+,prior_M_1d,0.03602351700546034,0.0712133050563679,0.39255345541207387
X1+ given M1+,prior_X_1d,0.028947907218601406,0.007311083826319902,0.10024032067810931
X1+ given M1+,days_since_m1plus,0.024079946064546293,2.134445808684005,0.9006676111156126
X1+ given M1+,MEANGBL_GMM_SLOG_MISSING,0.15707875619155617,0.01986828887152584,0.1395476261669952
X1+ given M1+,MEANGBZ_SLOG_MISSING,0.15707875619155617,0.01986828887152584,0.1395476261669952
X1+ given M1+,USFLUXL_SLOG_DELTA24H_MISSING,0.11143031805894961,0.12116307623618708,0.3263166946283487
X1+ given M1+,R_VALUE_SLOG_DELTA24H_MISSING,0.11143031805894961,0.12116307623618708,0.3263166946283487
X1+ given M1+,MEANGBL_GMM_SLOG_DELTA24H_MISSING,-0.17894053407590807,0.14231499051233396,0.34937291536094817
X1+ given M1+,MEANGBZ_SLOG_DELTA24H_MISSING,-0.17894053407590807,0.14231499051233396,0.34937291536094817
X1+ given M1+,USFLUXZ_SLOG_DELTA24H_MISSING,0.11143031805894961,0.12116307623618708,0.3263166946283487
X1+ given M1+,CMASKL_SLOG_DELTA24H_MISSING,0.11143031805894961,0.12116307623618708,0.3263166946283487
X1+ given M1+,LAT_FWT_VALUE_DELTA24H_MISSING,0.11143031805894961,0.12116307623618708,0.3263166946283487
X1+ given M1+,days_since_m1plus_MISSING,-0.2432791875879337,0.8758790043531645,0.32971953852702424
