model,feature,standardized_coefficient,absolute_coefficient,imputation_median,training_mean_after_imputation,training_scale
M1+,AREA_ACR__LOG1P,1.6430044879442591,1.6430044879442591,5.759055552590755,5.672808348528369,1.0960867059486386
M1+,USFLUX__DELTA24H,-1.6166593976681949,1.6166593976681949,-0.04237452797636365,-0.053541419221061884,0.4503046924669298
M1+,R_VALUE__LOG1P,1.0188121120020803,1.0188121120020803,1.3791438491660202,1.093702871119433,0.6442845325678055
M1+,TOTPOT__DELTA24H,0.8192997578673299,0.8192997578673299,-0.10288652239071894,-0.11687053710734156,0.5193220473919654
M1+,MEANSHR__LOG1P,0.749410752169062,0.749410752169062,3.47264944714249,3.4926779914065573,0.25240716647183953
M1+,MEANPOT__LOG1P,-0.7305487979112751,0.7305487979112751,8.031411477998503,8.144623096433603,0.7910775977560472
M1+,TOTUSJZ__LOG1P,0.6425469732478578,0.6425469732478578,29.898378777551024,29.657116058077765,1.6101780028102117
M1+,TOTUSJH__LOG1P,-0.6271260424322865,0.6271260424322865,6.0015658483813015,5.756630083784127,1.5676783742007094
M1+,USFLUX__LOG1P,-0.6262131690761265,0.6262131690761265,50.09602193793742,49.83674653693418,1.6363359249163143
M1+,MEANSHR__DELTA24H,-0.6067598999795273,0.6067598999795273,-0.01995056306936749,-0.020945367248590196,0.1124119997820792
M1+,ABS_LON_FWT,0.5622404698921403,0.5622404698921403,24.441647500000002,24.710258573968336,14.326858636543525
M1+,TOTUSJZ__DELTA24H,0.5071719855923612,0.5071719855923612,-0.06205010219545315,-0.07438025231813827,0.5131338981452622
M1+,TOTUSJH__DELTA24H,0.4740918009566035,0.4740918009566035,-0.07325766329078309,-0.07951757445214748,0.36720526409231014
M1+,MEANGBZ__LOG1P,0.4201464879809363,0.4201464879809363,4.7052507873981355,4.705014422009421,0.197442042504848
M1+,SAVNCPP__LOG1P,0.4176083978776049,0.4176083978776049,28.136562294081273,28.03226334696837,1.6070730877528145
M1+,SHRGT45__LOG1P,-0.4084304827011016,0.4084304827011016,2.9645253476306133,2.8316365315863314,0.9005615970434312
M1+,HOURS_SINCE_M1__LOG1P,-0.3992063726079125,0.3992063726079125,6.580639137284949,6.200328863856494,1.0751943279263354
M1+,MEANGAM__LOG1P,0.38845399456621255,0.38845399456621255,3.6737785058540116,3.687515169863027,0.23620983872494464
M1+,TOTPOT__LOG1P,0.370862862478066,0.370862862478066,52.15277121441165,51.94647147673378,2.113154172294597
M1+,ABSNJZH__LOG1P,0.3599973836155536,0.3599973836155536,3.3720259618115094,3.3371485254847477,1.5850792827009934
M1+,PRIOR_M1_COUNT_30D__LOG1P,-0.32977505569219545,0.32977505569219545,0.0,0.16320930866985503,0.48157986247312035
M1+,PRIOR_M1_COUNT_7D__LOG1P,0.2715386261377333,0.2715386261377333,0.0,0.15069975734035812,0.45765585897825345
M1+,MEANGBT__DELTA24H,0.26676607743725894,0.26676607743725894,-0.00042732217118102156,-0.005643109345905147,0.12508686611818173
M1+,MEANGBH__DELTA24H,-0.2546212795876288,0.2546212795876288,-0.024642482113904407,-0.02875552262050697,0.16797822100113077
M1+,R_VALUE__DELTA24H,-0.1871588531700559,0.1871588531700559,0.0,-0.034855451972267956,0.4529164305593443
M1+,SHRGT45__DELTA24H,0.18503514531936754,0.18503514531936754,-0.060609725901639155,-0.0905296499356448,0.4132073841277865
M1+,MEANGBT__LOG1P,-0.1648296952563338,0.1648296952563338,4.695760152140739,4.688136977468557,0.20244993112668744
M1+,SAVNCPP__DELTA24H,-0.15713771593846232,0.15713771593846232,-0.06389296006922862,-0.07395775344303551,0.8904810714921336
M1+,PRIOR_M1_COUNT_24H__LOG1P,0.1391058806934763,0.1391058806934763,0.0,0.03642265734287376,0.20140023456628048
M1+,MEANPOT__DELTA24H,-0.12636281781540218,0.12636281781540218,-0.0598475857245635,-0.061932993502842815,0.24721367643326092
M1+,MEANGBH__LOG1P,0.11785791603691304,0.11785791603691304,3.9910744527346504,3.971171078812016,0.24410821076336994
M1+,MEANJZD__DELTA24H,0.08009707987671387,0.08009707987671387,-0.0016056835507616274,-0.007284534008646464,0.38359448280628505
M1+,ABSNJZH__DELTA24H,0.06553528859999594,0.06553528859999594,-0.09259278682782494,-0.09068937656479639,0.8858518221993059
M1+,PRIOR_X1_COUNT_7D__LOG1P,0.06478845298486695,0.06478845298486695,0.0,0.01684684037236326,0.13194183160994222
M1+,MEANJZH__DELTA24H,0.061985562779626864,0.061985562779626864,2.8743831820456718e-05,4.901507483802098e-05,0.00819878117789621
M1+,HOURS_SINCE_X1__LOG1P,0.04795105702818324,0.04795105702818324,6.580639137284949,6.530338665344586,0.3682542551097017
M1+,AREA_ACR__DELTA24H,0.04637602817598557,0.04637602817598557,-0.037499359707446445,-0.050056659978404305,0.25672934106846923
M1+,MEANALP__LOG1P,-0.034127897981746584,0.034127897981746584,-0.0001959957900827107,0.001600861957244167,0.05411099646157247
M1+,PRIOR_X1_COUNT_30D__LOG1P,0.03365141767548563,0.03365141767548563,0.0,0.019508125326649056,0.1428612635616125
M1+,MEANGBZ__DELTA24H,-0.03041537277808852,0.03041537277808852,-4.223882678022761e-05,-0.004086768028282842,0.13294545258593102
M1+,LAT_FWT_VALUE,-0.030354695337908803,0.030354695337908803,3.9581515,-0.294099569166883,16.822440126015128
M1+,MEANALP__DELTA24H,-0.026001433122668716,0.026001433122668716,0.00016805946200604879,0.0004907999371569125,0.052408875680010604
M1+,MEANGAM__DELTA24H,-0.020952335456141988,0.020952335456141988,-0.02737856081735579,-0.028167910579076066,0.10171747738188791
M1+,MEANJZD__LOG1P,-0.019484424624231528,0.019484424624231528,0.05642984373844432,0.08064553741990475,0.43655206229163984
M1+,MEANJZH__LOG1P,-0.01282921719243274,0.01282921719243274,-6.107313473534337e-05,0.0004816612739601363,0.011699566850585895
X1+ direct,AREA_ACR__LOG1P,3.1093213352722646,3.1093213352722646,5.759055552590755,5.672808348528369,1.0960867059486386
